Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
283110,Asamayama,17776,Confirmed Eruption,,1,,,1916,,5,?,12,,Observations: Reported,,1916,,10,,2,,36.406,138.523
282110,Asosan,13833,Confirmed Eruption,Naka-dake,2,,,1916,,4,,19,,Observations: Reported,,,,,,,,32.884,131.104
283070,Yakedake,17506,Confirmed Eruption,"Taisho Crater, Inkyo-ko",2,,,1916,,3,,17,,Observations: Reported,,1916,,4,?,12,,36.227,137.587
284010,Izu-Oshima,18210,Confirmed Eruption,Mihara-yama,2,,,1915,,10,,10,,Observations: Reported,,1915,,10,?,25,,34.724,139.394
283070,Yakedake,17505,Confirmed Eruption,"1911 summit crater, SE flank (Taisho)",2,,,1915,,6,,6,,Observations: Reported,,1915,,7,,16,,36.227,137.587
283110,Asamayama,17775,Confirmed Eruption,,1,,,1915,,5,?,13,,Observations: Reported,,1915,,8,,27,,36.406,138.523
283070,Yakedake,17504,Confirmed Eruption,,2,?,,1915,,2,,0,,Observations: Reported,,1915,,2,,0,,36.227,137.587
284070,Myojinsho,18313,Confirmed Eruption,"11 km east, 19 km NE, 4 km SW",0,,,1915,,2,,0,,Observations: Reported,,1915,,7,,0,,31.888,139.918
283110,Asamayama,17774,Confirmed Eruption,,2,,,1914,,11,,12,,Observations: Reported,,1914,,12,,16,,36.406,138.523
282090,Kirishimayama,17155,Confirmed Eruption,Ohachi,,,,1914,,11,,8,,Observations: Reported,,,,,,,,31.934,130.862
284010,Izu-Oshima,18209,Confirmed Eruption,Mihara-yama,2,,,1914,,5,,15,,Observations: Reported,,1914,,5,,26,,34.724,139.394
282110,Asosan,17279,Confirmed Eruption,Naka-dake,2,,,1914,,1,,13,,Observations: Reported,,,,,,,,32.884,131.104
284130,Fukutoku-Oka-no-Ba,18447,Confirmed Eruption,Shin-Iwo-jima,3,,,1914,,1,,13,,Observations: Reported,,1914,,8,>,21,,24.285,141.481
282080,Aira,17077,Confirmed Eruption,"West, east and SE flanks",4,,,1914,,1,,12,,Observations: Reported,,1915,,5,,0,,31.593,130.657
282050,Kuchinoerabujima,16968,Confirmed Eruption,Shindake,2,?,,1914,,1,,5,,Observations: Reported,,,,,,,,30.443,130.217
282040,Nakanoshima,16952,Confirmed Eruption,On-take,1,,,1914,,1,,0,,Observations: Reported,,,,,,,,29.859,129.857
282090,Kirishimayama,17154,Confirmed Eruption,Ohachi,2,,,1913,,11,,8,,Observations: Reported,,1914,,1,,8,,31.934,130.862
283070,Yakedake,17503,Confirmed Eruption,Inkyo-ko,2,,,1913,,9,?,1,,Observations: Reported,,1914,,1,,13,,36.227,137.587
284010,Izu-Oshima,18208,Confirmed Eruption,Mihara-yama,1,,,1912,,2,,23,,Observations: Reported,,1913,,1,,25,,34.724,139.394
283070,Yakedake,17502,Confirmed Eruption,,2,,,1912,,2,,11,,Observations: Reported,,1912,,9,?,0,,36.227,137.587
283070,Yakedake,17501,Confirmed Eruption,New summit crater (Inkyo-ko),2,,,1911,,5,,6,,Observations: Reported,,1911,,8,?,23,,36.227,137.587
282110,Asosan,17297,Confirmed Eruption,Naka-dake,2,,,1911,,0,,0,,Observations: Reported,,1912,,0,,0,,32.884,131.104
284010,Izu-Oshima,18207,Confirmed Eruption,Mihara-yama,1,,,1910,,12,,0,,Observations: Reported,,,,,,,,34.724,139.394
283070,Yakedake,17500,Confirmed Eruption,Summit crater (Shoga-ike),2,,,1910,,11,,11,,Observations: Reported,,1910,,11,,30,,36.227,137.587
285030,Toya,18599,Confirmed Eruption,Usu North flank (Meiji-Shinzan),2,,,1910,,7,,25,,Observations: Reported,,1910,,11,,0,,42.544,140.839
282110,Asosan,17296,Confirmed Eruption,Naka-dake,2,,,1910,,4,,3,,Observations: Reported,,,,,,,,32.884,131.104
282110,Asosan,17295,Confirmed Eruption,Naka-dake,2,,,1909,,4,,0,,Observations: Reported,,,,,,,,32.884,131.104
283110,Asamayama,17773,Confirmed Eruption,,1,,,1909,,1,,29,,Observations: Reported,,1914,,6,,24,,36.406,138.523
285040,Shikotsu,18623,Confirmed Eruption,Tarumai,3,,,1909,,1,,11,,Observations: Reported,,1909,,4,,22,,42.688,141.38
283110,Asamayama,17772,Confirmed Eruption,,2,,,1908,,8,,5,,Observations: Reported,,1908,,9,,23,,36.406,138.523
283110,Asamayama,17771,Confirmed Eruption,,2,,,1908,,2,?,13,,Observations: Reported,,1908,,2,,19,,36.406,138.523
282110,Asosan,17294,Confirmed Eruption,Naka-dake,2,,,1908,,1,,17,,Observations: Reported,,1908,,1,?,29,,32.884,131.104
282110,Asosan,17293,Confirmed Eruption,Naka-dake,2,,,1907,,12,,12,,Observations: Reported,,,,,,,,32.884,131.104
283070,Yakedake,17499,Confirmed Eruption,Summit crater (Shoga-ike),2,,,1907,,12,,8,,Observations: Reported,,1909,,6,,1,,36.227,137.587
283110,Asamayama,17770,Confirmed Eruption,,2,,,1907,,8,,24,,Observations: Reported,,1907,,8,,24,,36.406,138.523
283110,Asamayama,17769,Confirmed Eruption,,2,,,1907,,1,,18,,Observations: Reported,,1907,,3,,28,,36.406,138.523
282110,Asosan,17292,Confirmed Eruption,Naka-dake,3,,,1906,,6,,7,,Observations: Reported,,,,,,,,32.884,131.104
284070,Myojinsho,18312,Confirmed Eruption,9-15 km SE of Bayonnaise Rocks,1,,,1906,,4,,7,,Observations: Reported,,1906,,4,,14,,31.888,139.918
283110,Asamayama,17768,Confirmed Eruption,,2,,,1906,,4,,6,,Observations: Reported,,1906,,4,,6,,36.406,138.523
283120,Kusatsu-Shiranesan,17829,Confirmed Eruption,Yu-gama,2,,,1905,,10,,0,,Observations: Reported,,1905,,10,,0,,36.618,138.528
285020,Hokkaido-Komagatake,18569,Confirmed Eruption,South of Ansei Crater,2,,,1905,,8,,19,,Observations: Reported,,1905,,9,?,1,,42.063,140.677
283190,Zaozan [Zaosan],17985,Confirmed Eruption,Okama,1,?,,1905,,0,,0,,Observations: Reported,,,,,,,,38.144,140.44
284130,Fukutoku-Oka-no-Ba,18446,Confirmed Eruption,Shin-Iwo-jima,3,,,1904,,11,,14,,Observations: Reported,,1905,,5,?,16,,24.285,141.481
283110,Asamayama,17766,Confirmed Eruption,,2,,,1904,,8,,4,,Observations: Reported,,1904,,8,,4,,36.406,138.523
282090,Kirishimayama,17153,Confirmed Eruption,Ohachi,2,,,1903,,8,,29,,Observations: Reported,,1903,,11,,25,,31.934,130.862
282020,Io-Torishima,16917,Confirmed Eruption,,2,,,1903,,3,,15,5,Observations: Reported,,1903,,8,,26,5,27.881,128.223
284090,Izu-Torishima,18368,Confirmed Eruption,"Komochi-yama, N & SW offshore flanks",3,,,1902,,8,,7,,Observations: Reported,,1902,,8,,24,,30.484,140.303
283110,Asamayama,17764,Confirmed Eruption,,2,,,1902,,8,,5,,Observations: Reported,,1902,,8,?,20,,36.406,138.523
283120,Kusatsu-Shiranesan,17827,Confirmed Eruption,North side of Yumi-ike,1,,,1902,,7,,15,,Observations: Reported,,1902,,9,,24,,36.618,138.528
283110,Asamayama,17763,Confirmed Eruption,,2,,,1902,,2,,7,,Observations: Reported,,1902,,2,,7,,36.406,138.523
283230,Akita-Komagatake,18051,Confirmed Eruption,Yoko-dake,1,?,,1902,,0,,0,,Observations: Reported,,,,,,,,39.761,140.799
283120,Kusatsu-Shiranesan,17826,Confirmed Eruption,NE part of Yu-gama,1,,,1900,,10,,1,,Observations: Reported,,1900,,10,,1,,36.618,138.528
283170,Adatarayama,17912,Confirmed Eruption,Numanotaira,2,,,1900,,7,,17,,Observations: Reported,,1900,,7,,17,,37.647,140.281
283110,Asamayama,17762,Confirmed Eruption,,2,,,1900,,1,,22,,Observations: Reported,,1901,,10,,0,,36.406,138.523
283170,Adatarayama,17911,Confirmed Eruption,Numanotaira,2,,,1899,,8,,24,,Observations: Reported,,1899,,11,,12,,37.647,140.281
282090,Kirishimayama,17152,Confirmed Eruption,Ohachi,2,,,1899,,7,,28,,Observations: Reported,,1900,,2,,16,,31.934,130.862
283110,Asamayama,17761,Confirmed Eruption,,2,,,1899,,7,,10,,Observations: Reported,,1899,,8,,7,,36.406,138.523
283110,Asamayama,17760,Confirmed Eruption,,2,,,1899,,3,,11,,Observations: Reported,,,,,,,,36.406,138.523
282090,Kirishimayama,17151,Confirmed Eruption,Ohachi,2,,,1898,,12,,26,,Observations: Reported,,1898,,12,,30,,31.934,130.862
285061,Maruyama,18663,Confirmed Eruption,Maru-yama (No. 1 crater),2,,,1898,,12,?,3,,Observations: Reported,,1898,,12,,6,,43.418,143.031
282110,Asosan,17291,Confirmed Eruption,Naka-dake,2,,,1898,,8,?,0,,Observations: Reported,,1899,,4,>,0,,32.884,131.104
